Subject,Number,Percent
Computing,2197,45.3
Arts,140,2.9
Creative Arts,102,2.1
 Languages,202,4.2
Science,659,13.6
 Social Science,148,3.1
 Mathematics,570,11.8
 Engineering,798,16.5
 Education,69,1.4
Other,331,6.8
