"","highest_qual","post_school_training_Computing","post_school_trainingArts","post_school_training_Creative.Arts","post_school_training_post_school_training_Languages","post_school_trainingScience","post_school_training_Social.Science","post_school_training_post_school_training_Mathematics","post_school_trainingEngineering","post_school_training_Education","post_school_training_Other"
"123",4,1,0,0,0,0,0,0,1,0,0
"124",NA,0,0,0,0,0,0,0,0,0,0
"125",2,1,0,0,0,0,0,0,0,0,0
"126",2,0,0,0,0,0,0,0,0,0,0
"127",4,0,0,0,0,0,0,0,0,0,0
"128",3,0,0,0,0,0,0,0,1,0,0
"129",4,0,0,0,0,0,0,0,1,0,0
"130",1,1,0,0,0,0,0,1,0,0,0
"131",3,1,0,0,0,1,0,1,0,0,0
"132",NA,0,0,0,0,0,0,0,0,0,0
"133",3,0,0,0,1,0,0,0,0,0,0
"134",4,0,0,0,0,0,0,0,1,0,0
"135",3,0,0,0,0,0,0,0,0,0,0
"136",3,1,0,0,0,0,0,0,0,0,0
"137",2,1,0,0,0,0,0,0,1,0,0
"138",1,1,0,0,0,0,0,0,0,0,0
"139",4,0,0,0,0,1,0,1,0,0,0
"140",2,1,0,0,0,0,0,0,0,0,0
"141",4,1,0,0,0,1,0,1,0,0,0
"142",2,1,0,0,0,0,0,0,0,0,0
"143",3,1,0,0,0,0,0,0,1,0,0
"144",NA,0,0,0,0,0,0,0,0,0,0
"145",4,1,0,0,0,0,0,0,0,0,0
"146",1,0,0,0,0,0,0,0,0,0,0
"147",3,0,0,0,0,0,0,0,0,0,0
"148",4,1,0,0,0,0,0,0,1,0,0
"149",4,0,0,0,0,1,0,0,0,0,0
"150",3,1,0,0,0,0,0,0,0,0,0
"151",4,0,0,0,0,0,0,0,0,0,1
"152",1,0,0,0,0,0,0,0,0,0,0
"153",NA,0,0,0,0,0,0,0,0,0,0
"154",3,1,0,0,1,0,0,0,0,0,0
"155",3,0,0,0,0,0,0,0,0,0,0
"156",3,0,0,0,0,0,0,0,0,0,0
"157",3,1,0,0,0,0,0,0,0,0,0
"158",1,1,0,0,0,0,1,0,0,0,0
"159",3,0,0,0,0,1,0,0,0,0,0
"160",1,0,0,0,0,0,0,0,0,0,0
"161",3,1,0,0,0,0,0,0,1,0,0
"162",3,1,0,0,0,0,0,1,0,0,0
"163",3,0,0,0,1,1,0,0,0,0,0
"164",3,0,0,0,1,0,0,0,0,0,0
"165",3,1,1,0,0,0,0,0,0,0,0
"166",1,0,0,0,0,0,0,0,0,0,0
"167",3,0,0,0,0,0,0,0,0,0,1
"168",4,0,0,0,0,0,0,0,0,0,0
"169",1,1,0,0,0,0,0,0,1,0,0
"170",3,0,0,0,0,0,0,0,0,0,0
"171",2,0,0,0,0,0,0,0,1,0,0
"172",3,0,0,0,0,0,0,0,1,0,0
"173",4,0,0,0,0,0,0,0,0,0,0
"174",3,1,0,0,1,0,0,0,0,0,0
"175",2,1,0,0,0,0,0,0,0,0,0
