"","formally_taught_perl","formally_taught_other_os_language","other_os_language_taught"
"281",1,1,""
"282",1,1,""
"283",1,3,"JavaScript A lot"
"284",1,1,""
"285",NA,NA,""
"286",NA,NA,""
"287",1,1,""
"288",1,1,""
"289",NA,NA,""
"290",1,1,""
"291",1,3,"php"
"292",1,1,""
"293",1,1,""
"294",1,1,""
"295",1,3,""
"296",1,2,""
"297",2,2,""
"298",4,4,""
"299",3,3,""
"300",1,1,""
"301",1,1,""
"302",1,2,"PHP in school"
"303",2,1,""
"304",1,1,""
"305",1,1,""
"306",1,1,""
"307",3,5,""
"308",1,1,""
"309",1,1,""
"310",1,1,""
"311",1,1,""
"312",2,4,""
"313",1,1,""
"314",1,1,""
"315",1,2,""
"316",1,1,""
"317",NA,NA,""
"318",3,3,""
"319",1,3,"PHP"
"320",1,1,""
"321",1,2,"Scheme"
"322",NA,NA,""
"323",2,1,""
"324",1,3,"lisp"
"325",1,3,""
"326",1,1,""
"327",1,1,""
"328",1,1,""
"329",1,3,"c, C++"
"330",1,3,"C,C++,Pascal"
"331",1,4,"python[CR]java script"
"332",1,3,"Scheme: one semester advanced practical course[CR]"
"333",1,1,""
"334",1,1,""
"335",NA,NA,""
"336",1,1,""
"337",1,1,""
"338",NA,NA,""
"339",1,1,""
"340",1,2,"Java"
"341",1,2,"Scheme"
"342",1,1,""
"343",1,1,""
"344",1,2,""
"345",1,3,""
"346",1,3,""
"347",1,1,""
"348",1,1,""
"349",1,1,""
"350",NA,NA,""
"351",1,1,""
"352",1,3,"php[CR]java"
"353",NA,NA,""
"354",1,1,""
"355",2,2,""
"356",NA,NA,""
"357",1,3,"c++/java"
"358",1,1,""
"359",1,1,""
"360",1,3,""
"361",1,1,""
"362",3,5,"C[CR]C++[CR]ruby"
"363",1,1,""
"364",1,2,"Lisp, Scheme "
"365",1,1,""
"366",1,1,""
"367",1,1,""
"368",2,3,"Tcl/Tk"
"369",1,1,""
"370",1,1,""
"371",1,1,""
"372",1,2,"lisp, awk"
"373",2,1,""
"374",NA,NA,""
"375",1,1,""
"376",1,1,""
"377",1,1,""
"378",1,1,""
"379",2,2,""
"380",1,2,"Python"
"381",1,1,""
"382",1,1,""
"383",1,1,""
"384",1,1,""
"385",1,1,""
"386",2,4,""
"387",2,3,""
"388",1,1,""
"389",1,3,"basic, pascal, lisp"
"390",1,1,""
"391",1,5,"Prolog, Lisp"
"392",NA,NA,""
"393",1,1,""
"394",1,2,"BCPL[CR]Algol60"
"395",2,2,""
"396",1,1,""
"397",2,2,"Python"
"398",1,3,"Scheme, via DrScheme"
"399",1,1,""
"400",1,1,""
"401",1,1,""
"402",1,1,""
"403",NA,NA,""
"404",1,1,""
"405",NA,1,""
"406",1,3,""
"407",1,3,"Python"
"408",1,1,""
"409",1,1,""
"410",1,2,""
"411",1,2,""
"412",1,1,""
"413",1,1,""
"414",1,1,""
"415",1,1,""
"416",4,4,"Javascript, PHP"
"417",1,3,"PHP"
"418",1,1,""
"419",NA,NA,""
"420",1,1,""
"421",1,1,""
"422",1,1,""
"423",1,1,""
"424",1,1,""
"425",1,1,""
"426",1,1,""
"427",1,3,"Mozart (http://www.mozart-oz.org/)"
"428",1,1,""
"429",1,2,""
"430",NA,NA,""
"431",1,1,""
"432",NA,NA,""
"433",2,2,"PHP, Python"
"434",1,1,""
"435",1,1,""
"436",1,2,"awk"
"437",1,1,""
"438",1,1,""
"439",1,1,""
"440",1,1,""
"441",NA,NA,""
"442",1,2,"scheme"
"443",1,1,""
"444",1,4,"Ocaml (ok, not very dynamic), Common Lisp"
"445",2,1,""
"446",1,1,""
"447",2,5,""
"448",1,1,""
"449",1,1,""
"450",3,2,""
"451",1,2,"C"
"452",NA,NA,""
"453",3,5,"Python, Ruby, Lisp, Javascript, Smalltalk etc etc"
"454",1,1,""
"455",1,1,""
"456",NA,NA,""
"457",1,1,""
"458",1,2,"C Bash"
"459",1,3,"CLU, C"
"460",1,3,""
"461",1,2,""
"462",1,3,""
"463",1,1,""
"464",1,2,"Lisp.  Very very little."
"465",1,1,""
"466",1,1,""
"467",1,1,""
"468",NA,NA,""
"469",NA,NA,""
"470",1,1,""
"471",1,1,""
"472",1,1,""
"473",1,1,""
"474",1,2,""
"475",1,4,"MIT scheme, emacs-lisp"
"476",1,1,""
"477",1,1,""
"478",3,4,""
"479",1,1,""
"480",1,1,""
"481",1,1,""
"482",1,1,""
"483",1,2,"Bash shell in a Unix class"
"484",1,1,""
"485",1,1,""
"486",1,1,""
"487",1,1,""
"488",NA,NA,""
"489",1,1,""
"490",1,1,"Not formally taught, but we were allowed to choose our implementation languages in some courses.  Tcl and Perl were used by several students."
"491",1,1,""
"492",1,1,""
"493",NA,NA,""
"494",1,1,""
"495",1,1,""
"496",1,1,""
"497",1,1,""
"498",1,3,"java"
"499",2,3,""
"500",NA,NA,""
"501",1,3,"PHP"
"502",NA,NA,""
"503",1,1,""
"504",1,1,""
"505",1,1,""
"506",1,1,""
"507",1,1,""
"508",NA,NA,""
"509",1,2,"BASH, C++"
"510",2,3,"PHP"
"511",1,1,""
"512",1,3,"Unix shell (ksh)."
"513",1,3,""
"514",NA,NA,""
"515",2,1,""
"516",1,1,""
"517",1,1,""
"518",1,1,""
"519",1,1,""
"520",1,1,""
"521",1,1,""
"522",1,3,"bash, php"
"523",1,3,"Java"
"524",1,1,""
"525",1,1,""
"526",1,1,""
"527",1,1,""
"528",1,1,""
"529",1,1,"CL or Scheme, Python"
