"","install_CPAN_always_test_run","freq_force_install_CPAN_mods_after_test_fail","try_to_understand_why_tests_fail_before_force_install","report_test_fails_thru_approp_channels"
"258",6,3,5,3
"259",7,5,6,3
"260",5,6,3,3
"261",NA,NA,NA,NA
"262",6,3,1,1
"263",7,6,2,2
"264",6,6,5,4
"265",7,4,7,7
"266",6,5,6,6
"267",7,1,1,1
"268",7,4,7,6
"269",1,5,3,3
"270",6,3,6,5
"271",NA,NA,NA,NA
"272",7,2,7,1
"273",5,5,6,3
"274",3,6,3,3
"275",6,4,5,3
"276",NA,NA,NA,NA
"277",6,3,6,3
"278",3,6,6,3
"279",NA,NA,NA,NA
"280",5,2,7,4
"281",7,5,7,NA
"282",6,3,7,4
"283",6,6,7,3
"284",3,5,6,5
"285",NA,NA,NA,NA
"286",NA,NA,NA,NA
"287",7,3,7,3
"288",3,2,6,6
"289",NA,NA,NA,NA
"290",NA,NA,NA,NA
"291",NA,NA,NA,NA
"292",5,3,6,5
"293",6,3,6,4
"294",6,4,6,6
"295",NA,NA,NA,NA
"296",5,4,6,4
"297",7,3,6,6
"298",NA,NA,NA,NA
"299",6,5,6,2
"300",7,3,1,3
"301",7,5,7,6
"302",3,1,4,5
"303",3,3,3,2
"304",7,5,7,1
"305",6,6,6,4
"306",3,6,3,3
"307",7,1,6,4
"308",6,4,6,5
"309",2,1,1,2
"310",4,4,5,4
"311",5,3,6,5
"312",NA,NA,NA,NA
"313",NA,NA,NA,NA
"314",1,1,1,1
"315",NA,NA,NA,NA
"316",4,5,6,4
"317",NA,NA,NA,NA
"318",6,5,4,5
"319",5,5,5,1
"320",3,6,3,3
"321",7,2,1,2
"322",NA,NA,NA,NA
"323",7,6,6,6
"324",6,4,5,4
"325",NA,NA,NA,NA
"326",4,3,6,5
"327",7,2,7,6
"328",6,2,7,6
"329",NA,NA,NA,NA
"330",6,6,7,3
"331",NA,NA,NA,NA
"332",6,6,6,6
"333",7,3,6,5
"334",5,2,4,2
"335",NA,NA,NA,NA
"336",6,6,4,2
"337",5,5,6,5
"338",NA,NA,NA,NA
"339",NA,NA,NA,NA
"340",6,5,5,3
"341",NA,NA,NA,NA
"342",NA,NA,NA,NA
"343",5,6,6,6
"344",6,5,5,3
"345",7,3,7,5
"346",6,4,6,4
"347",4,5,6,6
"348",7,2,6,7
"349",NA,NA,NA,NA
"350",NA,NA,NA,NA
"351",NA,NA,NA,NA
"352",7,2,6,1
"353",NA,NA,NA,NA
"354",7,3,7,6
"355",7,4,7,2
"356",NA,NA,NA,NA
"357",4,NA,6,2
"358",3,6,3,3
"359",NA,NA,NA,NA
"360",7,3,6,5
"361",4,6,3,3
"362",NA,NA,NA,NA
"363",4,6,6,3
"364",NA,NA,NA,NA
"365",7,3,7,6
"366",NA,NA,NA,NA
"367",7,2,7,5
"368",6,3,7,4
"369",6,3,7,5
"370",6,2,1,6
"371",4,2,2,5
"372",4,2,1,1
"373",7,3,7,6
"374",NA,NA,NA,NA
"375",3,4,3,3
"376",7,5,7,7
"377",NA,NA,NA,NA
"378",7,2,7,6
"379",NA,NA,NA,NA
"380",3,1,1,1
"381",7,4,6,6
"382",NA,NA,NA,NA
"383",6,3,5,5
"384",NA,NA,NA,NA
"385",1,1,1,1
"386",6,6,7,1
"387",NA,NA,NA,NA
"388",NA,NA,NA,NA
"389",6,4,6,6
"390",6,3,6,6
"391",NA,NA,NA,NA
"392",NA,NA,NA,NA
"393",4,6,6,2
"394",NA,NA,NA,NA
"395",NA,NA,NA,NA
"396",6,3,6,1
"397",7,3,7,3
"398",7,5,6,4
"399",6,3,6,6
"400",NA,NA,NA,NA
"401",6,6,6,3
"402",3,1,1,6
"403",NA,NA,NA,NA
"404",7,2,7,7
"405",7,5,6,3
"406",NA,NA,NA,NA
"407",3,1,1,1
"408",NA,NA,NA,NA
"409",6,5,6,5
"410",NA,NA,NA,NA
"411",3,6,3,3
"412",7,3,5,6
"413",5,6,6,5
"414",NA,NA,NA,NA
"415",1,6,1,1
"416",NA,NA,NA,NA
"417",5,4,6,6
"418",6,6,6,5
"419",NA,NA,NA,NA
"420",7,3,7,7
"421",NA,NA,NA,NA
"422",6,4,7,5
"423",NA,NA,NA,NA
"424",6,6,1,1
"425",5,5,4,5
"426",NA,NA,NA,NA
"427",7,4,6,6
"428",NA,NA,NA,NA
"429",1,1,1,1
"430",NA,NA,NA,NA
"431",6,3,5,4
"432",NA,NA,NA,NA
"433",7,4,7,5
"434",NA,NA,NA,NA
"435",NA,NA,NA,NA
"436",6,3,7,5
"437",7,3,7,5
"438",6,3,6,6
"439",NA,NA,NA,NA
"440",7,2,7,5
"441",NA,NA,NA,NA
"442",6,6,6,5
"443",6,3,6,5
"444",5,5,6,5
"445",6,2,5,3
"446",NA,NA,NA,NA
"447",NA,NA,NA,NA
"448",6,6,7,6
"449",3,5,6,3
"450",7,3,7,5
"451",6,3,6,6
"452",NA,NA,NA,NA
"453",2,7,2,2
"454",7,2,7,7
"455",6,3,6,5
"456",NA,NA,NA,NA
"457",7,5,7,6
"458",6,2,5,4
"459",7,6,7,4
"460",5,3,3,3
"461",6,3,6,5
"462",6,3,7,6
"463",6,3,6,5
"464",7,6,7,4
"465",7,5,5,3
"466",NA,NA,NA,NA
"467",4,2,7,5
"468",NA,NA,NA,NA
"469",NA,NA,NA,NA
"470",5,3,7,5
"471",7,3,6,7
"472",NA,NA,NA,NA
"473",4,4,6,6
"474",NA,NA,NA,NA
"475",6,3,6,5
"476",7,3,6,3
"477",NA,NA,NA,NA
"478",NA,NA,NA,NA
"479",NA,NA,NA,NA
"480",7,4,5,4
"481",1,1,7,6
"482",NA,NA,NA,NA
"483",7,5,7,6
"484",NA,NA,NA,NA
"485",7,4,6,6
"486",NA,NA,NA,NA
"487",6,5,1,1
"488",NA,NA,NA,NA
"489",7,2,6,3
"490",7,4,6,6
"491",NA,NA,NA,NA
"492",5,3,2,2
"493",NA,NA,NA,NA
"494",NA,NA,NA,NA
"495",7,2,7,5
"496",1,1,1,1
"497",NA,NA,NA,NA
"498",3,5,6,4
"499",6,2,1,1
"500",NA,NA,NA,NA
"501",3,3,5,2
"502",NA,NA,NA,NA
"503",NA,NA,NA,NA
"504",6,3,7,6
"505",3,5,6,3
"506",1,1,1,1
"507",6,3,1,2
"508",NA,NA,NA,NA
"509",6,4,6,6
"510",1,2,1,1
"511",1,1,1,1
"512",7,2,7,7
"513",NA,NA,NA,NA
"514",NA,NA,NA,NA
"515",4,2,6,5
"516",6,5,6,5
"517",7,3,1,1
"518",6,5,7,6
"519",5,5,4,4
"520",1,1,1,1
"521",3,4,5,3
"522",7,5,7,6
"523",1,1,1,1
"524",7,3,7,6
"525",6,4,7,5
"526",6,4,6,4
"527",7,2,7,5
"528",1,1,1,1
"529",6,6,4,4
