"","install_CPAN_always_test_run","freq_force_install_CPAN_mods_after_test_fail","try_to_understand_why_tests_fail_before_force_install","report_test_fails_thru_approp_channels"
"1109",7,4,1,6
"1110",NA,NA,NA,NA
"1111",NA,NA,NA,NA
"1112",3,1,6,2
"1113",NA,NA,NA,NA
"1114",7,2,7,6
"1115",7,4,7,6
"1116",6,5,5,3
"1117",7,2,7,7
"1118",NA,NA,NA,NA
"1119",NA,NA,NA,NA
"1120",5,6,7,2
"1121",1,1,1,1
"1122",6,5,6,5
"1123",6,5,6,6
"1124",7,5,7,3
"1125",NA,NA,NA,NA
"1126",4,5,3,5
"1127",NA,NA,NA,NA
"1128",NA,NA,NA,NA
"1129",NA,NA,NA,NA
"1130",6,3,6,5
"1131",1,2,1,1
"1132",7,3,7,2
"1133",5,4,7,5
"1134",NA,NA,NA,NA
"1135",6,2,1,1
"1136",6,2,6,3
"1137",6,3,6,5
"1138",7,5,7,6
"1139",NA,NA,NA,NA
"1140",4,1,1,1
"1141",NA,NA,NA,NA
"1142",NA,NA,NA,NA
"1143",NA,NA,NA,NA
"1144",7,6,5,7
"1145",NA,NA,NA,NA
"1146",7,3,7,7
"1147",NA,NA,NA,NA
"1148",4,5,6,6
"1149",6,5,5,3
"1150",NA,NA,NA,NA
"1151",6,2,6,6
"1152",NA,NA,NA,NA
"1153",6,5,3,5
"1154",6,3,6,6
"1155",NA,NA,NA,NA
"1156",6,3,7,5
"1157",6,3,6,5
"1158",6,3,5,2
"1159",6,6,4,2
"1160",1,1,1,1
"1161",4,7,7,7
"1162",NA,NA,NA,NA
"1163",5,5,5,3
"1164",4,3,7,3
"1165",6,3,6,6
"1166",NA,NA,NA,NA
"1167",NA,NA,NA,NA
"1168",7,2,7,6
"1169",NA,NA,NA,NA
"1170",5,2,6,2
"1171",NA,NA,NA,NA
"1172",6,3,7,6
"1173",4,3,3,4
"1174",NA,NA,NA,NA
"1175",NA,NA,NA,NA
"1176",7,3,7,7
"1177",NA,NA,NA,NA
"1178",6,3,3,6
"1179",6,7,3,5
"1180",5,5,4,5
"1181",6,3,6,1
"1182",6,4,7,5
"1183",NA,NA,NA,NA
"1184",6,5,6,6
"1185",NA,NA,NA,NA
"1186",NA,NA,NA,NA
"1187",NA,NA,NA,NA
"1188",NA,NA,NA,NA
"1189",6,1,1,6
"1190",6,3,5,4
"1191",6,5,5,4
"1192",NA,NA,NA,NA
"1193",5,6,2,2
"1194",6,2,7,3
"1195",6,5,5,7
"1196",NA,NA,NA,NA
"1197",NA,NA,NA,NA
"1198",NA,NA,NA,NA
"1199",6,4,6,6
"1200",6,5,7,6
"1201",NA,NA,NA,NA
"1202",6,3,6,3
"1203",6,5,5,4
"1204",NA,NA,NA,NA
"1205",7,2,1,1
"1206",4,6,2,2
"1207",NA,NA,NA,NA
"1208",NA,NA,NA,NA
"1209",7,4,6,6
"1210",NA,NA,NA,NA
"1211",6,3,6,3
"1212",5,2,6,4
"1213",2,7,5,4
"1214",NA,NA,NA,NA
"1215",6,5,7,6
"1216",6,5,7,4
"1217",2,2,2,2
"1218",6,2,7,7
"1219",6,6,6,3
"1220",6,1,3,6
"1221",6,3,4,3
"1222",7,3,7,6
"1223",NA,NA,NA,NA
"1224",6,3,6,6
"1225",1,1,1,1
"1226",7,3,6,1
"1227",NA,NA,NA,NA
"1228",6,4,6,3
"1229",5,5,6,3
"1230",7,2,6,6
"1231",6,4,6,3
"1232",NA,NA,NA,NA
"1233",1,1,1,1
"1234",NA,NA,NA,NA
"1235",1,1,1,1
"1236",6,7,7,6
"1237",NA,NA,NA,NA
"1238",7,2,5,5
"1239",6,6,6,6
"1240",6,1,1,1
"1241",NA,NA,NA,NA
"1242",NA,NA,NA,NA
"1243",NA,NA,NA,NA
"1244",7,3,6,6
"1245",NA,NA,NA,NA
"1246",7,3,7,5
"1247",NA,NA,NA,NA
"1248",7,3,7,7
"1249",NA,NA,NA,NA
"1250",NA,NA,NA,NA
"1251",7,2,1,1
"1252",2,1,1,1
"1253",5,5,6,3
"1254",1,1,1,1
"1255",NA,NA,NA,NA
"1256",5,4,4,4
"1257",4,2,1,3
"1258",1,1,1,1
"1259",5,5,5,4
"1260",NA,NA,NA,NA
"1261",NA,NA,NA,NA
"1262",6,4,7,5
"1263",7,4,7,4
"1264",NA,NA,NA,NA
"1265",6,4,5,1
"1266",3,5,5,6
"1267",NA,NA,NA,NA
"1268",7,2,6,2
"1269",4,5,6,5
"1270",NA,NA,NA,NA
"1271",5,4,6,4
"1272",NA,NA,NA,NA
"1273",7,6,4,4
"1274",NA,NA,NA,NA
"1275",NA,NA,NA,NA
"1276",3,6,5,3
"1277",NA,NA,NA,NA
"1278",6,4,5,5
"1279",NA,NA,NA,NA
"1280",1,7,7,7
"1281",6,3,6,5
"1282",7,2,6,7
"1283",NA,NA,NA,NA
"1284",1,1,1,1
"1285",NA,NA,NA,NA
"1286",NA,NA,NA,NA
"1287",7,2,7,1
"1288",7,3,7,7
"1289",6,3,7,6
"1290",NA,NA,NA,NA
"1291",NA,NA,NA,NA
"1292",NA,NA,NA,NA
"1293",5,5,5,3
"1294",3,4,6,3
"1295",NA,NA,NA,NA
"1296",7,2,5,7
"1297",6,6,3,3
"1298",3,3,6,NA
"1299",NA,NA,NA,NA
"1300",NA,NA,NA,NA
"1301",4,5,5,3
"1302",5,5,7,5
"1303",6,2,5,3
"1304",NA,NA,NA,NA
"1305",7,2,6,6
"1306",6,6,6,5
"1307",6,5,6,6
"1308",3,2,2,2
"1309",NA,NA,NA,NA
"1310",NA,NA,NA,NA
"1311",5,5,5,2
"1312",6,3,6,3
"1313",6,3,6,3
"1314",1,1,1,1
"1315",7,2,7,6
"1316",NA,NA,NA,NA
"1317",6,5,7,6
"1318",4,5,5,3
"1319",6,3,6,5
"1320",NA,NA,NA,NA
"1321",2,2,2,2
"1322",5,2,7,6
"1323",7,6,5,5
"1324",7,2,6,5
"1325",7,2,7,7
"1326",1,1,1,1
"1327",2,7,5,3
"1328",5,3,6,6
"1329",5,4,6,3
"1330",6,3,6,3
"1331",NA,NA,NA,NA
"1332",1,1,1,1
"1333",NA,NA,NA,NA
"1334",NA,NA,NA,NA
"1335",NA,NA,NA,NA
"1336",6,1,1,1
"1337",7,4,5,4
"1338",NA,NA,NA,NA
"1339",5,5,5,4
"1340",7,2,2,1
"1341",6,4,6,4
"1342",7,5,6,3
"1343",7,2,1,6
"1344",NA,NA,NA,NA
"1345",5,5,6,3
"1346",6,3,6,6
"1347",5,3,7,6
"1348",NA,NA,NA,NA
"1349",7,3,7,6
"1350",7,2,6,1
"1351",7,4,6,5
"1352",2,5,3,5
"1353",7,2,3,5
"1354",NA,NA,NA,NA
"1355",6,4,4,4
"1356",NA,NA,NA,NA
"1357",5,6,3,3
"1358",NA,NA,NA,NA
"1359",6,1,5,3
"1360",4,4,5,3
"1361",5,5,4,2
"1362",6,3,6,6
"1363",6,5,4,4
"1364",6,5,6,6
"1365",7,4,6,5
"1366",NA,NA,NA,NA
"1367",NA,NA,NA,NA
"1368",6,5,7,5
"1369",4,4,6,4
"1370",6,7,5,5
"1371",7,3,6,6
"1372",4,4,5,2
"1373",6,3,3,5
"1374",7,2,7,7
"1375",NA,NA,NA,NA
"1376",7,1,1,6
"1377",6,3,6,3
"1378",NA,NA,NA,NA
"1379",3,3,6,2
"1380",5,4,5,3
"1381",NA,NA,NA,NA
"1382",1,1,1,1
"1383",NA,NA,NA,NA
"1384",NA,NA,NA,NA
"1385",7,3,7,6
"1386",NA,NA,NA,NA
"1387",1,1,1,1
"1388",1,1,1,1
"1389",6,2,6,5
"1390",2,2,1,1
"1391",6,5,6,4
"1392",NA,NA,NA,NA
"1393",7,2,6,2
"1394",5,5,4,3
"1395",4,5,6,3
"1396",1,1,1,1
"1397",NA,NA,NA,NA
"1398",2,6,6,3
"1399",7,3,5,3
"1400",5,5,6,6
"1401",NA,NA,NA,NA
"1402",6,3,5,3
"1403",NA,NA,NA,NA
"1404",4,3,6,1
"1405",6,4,6,5
"1406",5,4,5,5
"1407",7,3,6,6
"1408",5,4,5,3
"1409",6,3,1,1
"1410",NA,NA,NA,NA
"1411",NA,NA,NA,NA
"1412",7,3,7,3
"1413",NA,NA,NA,NA
"1414",NA,NA,NA,NA
"1415",6,5,6,4
"1416",7,2,7,6
"1417",7,4,6,5
"1418",6,3,6,5
"1419",NA,NA,NA,NA
"1420",6,5,7,5
"1421",1,1,1,1
"1422",6,3,6,6
"1423",6,3,6,5
"1424",7,3,6,1
"1425",4,7,6,2
"1426",7,3,6,NA
"1427",2,3,2,2
"1428",NA,NA,NA,NA
"1429",6,5,6,4
"1430",NA,NA,NA,NA
"1431",5,7,6,4
"1432",6,6,6,6
"1433",NA,NA,NA,NA
"1434",7,4,6,7
"1435",5,5,6,3
"1436",2,2,6,4
"1437",2,2,2,2
"1438",1,1,1,1
"1439",7,2,7,5
"1440",1,1,1,1
"1441",6,5,5,5
"1442",6,4,6,6
"1443",6,5,7,4
"1444",NA,NA,NA,NA
"1445",2,4,2,2
"1446",6,6,6,4
"1447",NA,NA,NA,NA
"1448",2,7,3,3
"1449",7,3,1,1
"1450",NA,NA,NA,NA
"1451",6,2,1,6
"1452",7,5,7,7
"1453",6,6,6,3
"1454",NA,NA,NA,NA
"1455",NA,NA,NA,NA
"1456",NA,NA,NA,NA
"1457",4,4,4,3
"1458",NA,NA,NA,NA
"1459",4,5,5,4
"1460",6,3,5,2
"1461",7,2,7,6
"1462",4,5,NA,4
"1463",1,1,NA,3
"1464",6,5,7,3
"1465",6,3,7,2
"1466",4,2,5,5
"1467",7,2,7,1
"1468",6,5,7,4
"1469",7,3,6,2
"1470",NA,NA,NA,NA
"1471",2,1,7,4
"1472",7,6,6,3
"1473",6,5,6,4
"1474",7,2,7,2
"1475",6,4,2,3
"1476",5,3,5,4
"1477",1,1,1,1
"1478",NA,NA,NA,NA
"1479",6,5,6,2
"1480",6,6,3,5
"1481",1,3,5,5
"1482",NA,NA,NA,NA
"1483",5,3,4,2
"1484",NA,NA,NA,NA
"1485",6,6,6,NA
"1486",6,5,6,3
"1487",NA,NA,NA,NA
"1488",7,3,7,6
"1489",6,3,7,5
"1490",7,5,7,5
"1491",6,2,6,4
"1492",5,1,1,2
"1493",5,2,6,6
"1494",NA,NA,NA,NA
"1495",6,4,6,5
"1496",7,2,6,4
"1497",NA,NA,NA,NA
"1498",NA,NA,NA,NA
"1499",7,4,5,6
"1500",NA,NA,NA,NA
"1501",6,4,6,3
"1502",7,2,7,7
"1503",NA,NA,NA,NA
"1504",NA,NA,NA,NA
"1505",1,1,1,1
"1506",6,5,1,1
"1507",NA,NA,NA,NA
"1508",7,5,7,5
"1509",NA,NA,NA,NA
"1510",7,2,7,7
"1511",7,3,6,6
"1512",5,6,6,4
"1513",NA,NA,NA,NA
"1514",1,1,1,1
"1515",5,3,5,5
"1516",4,6,4,3
"1517",7,2,7,7
"1518",NA,NA,NA,NA
"1519",6,3,3,4
"1520",6,3,6,5
"1521",5,3,6,3
"1522",NA,NA,NA,NA
"1523",6,2,6,6
"1524",NA,NA,NA,NA
"1525",6,5,7,7
"1526",NA,NA,NA,NA
"1527",7,3,7,5
"1528",NA,NA,NA,NA
"1529",NA,NA,NA,NA
"1530",6,5,6,6
"1531",NA,NA,NA,NA
"1532",5,3,6,4
"1533",5,5,5,3
"1534",4,2,1,1
"1535",NA,NA,NA,NA
"1536",NA,NA,NA,NA
"1537",NA,NA,NA,NA
"1538",7,2,7,6
"1539",6,5,6,4
"1540",NA,NA,NA,NA
"1541",7,2,7,5
"1542",4,7,5,6
"1543",5,4,6,6
"1544",6,5,4,3
"1545",6,5,7,3
"1546",5,2,NA,4
"1547",NA,NA,NA,NA
"1548",7,6,6,4
"1549",NA,NA,NA,NA
"1550",NA,NA,NA,NA
"1551",NA,NA,NA,NA
"1552",1,1,1,1
"1553",6,3,6,2
"1554",7,2,6,2
"1555",1,1,1,1
"1556",6,4,5,NA
"1557",7,2,7,5
"1558",6,3,6,5
"1559",1,1,1,1
"1560",7,5,7,6
"1561",6,6,6,5
"1562",7,5,6,2
"1563",6,6,6,6
"1564",NA,NA,NA,NA
"1565",6,5,6,4
"1566",NA,NA,NA,NA
"1567",5,2,6,1
"1568",NA,NA,NA,NA
"1569",4,4,6,3
"1570",7,4,7,4
"1571",5,4,6,6
"1572",3,5,4,3
"1573",6,3,6,5
"1574",NA,NA,NA,NA
"1575",6,3,6,6
"1576",2,2,2,1
"1577",7,2,6,6
"1578",6,6,6,6
"1579",1,1,6,1
"1580",2,4,5,2
"1581",NA,NA,NA,NA
"1582",2,1,1,1
"1583",NA,NA,NA,NA
"1584",6,6,6,4
"1585",1,2,7,1
"1586",5,3,6,5
"1587",6,3,7,1
"1588",2,2,2,2
"1589",1,1,1,1
"1590",NA,NA,NA,NA
"1591",4,2,6,5
"1592",7,2,6,6
"1593",NA,NA,NA,NA
"1594",4,3,5,5
"1595",NA,NA,NA,NA
"1596",5,5,6,5
"1597",7,5,6,7
"1598",4,6,7,1
"1599",1,5,3,3
"1600",2,2,2,2
"1601",1,1,1,1
"1602",NA,NA,NA,NA
"1603",5,6,3,3
"1604",NA,NA,NA,NA
"1605",NA,NA,NA,NA
"1606",NA,NA,NA,NA
"1607",NA,NA,NA,NA
"1608",6,5,5,4
"1609",6,4,6,3
"1610",7,3,6,4
"1611",2,1,1,2
"1612",4,7,7,4
"1613",5,6,5,5
"1614",7,2,7,3
"1615",6,3,1,1
"1616",NA,NA,NA,NA
"1617",6,6,4,3
"1618",6,3,6,5
"1619",5,5,4,3
"1620",5,3,5,4
"1621",6,6,7,7
"1622",NA,NA,NA,NA
"1623",5,3,1,1
"1624",NA,NA,NA,NA
"1625",7,3,6,6
"1626",7,6,6,6
"1627",6,3,1,1
"1628",NA,NA,NA,NA
"1629",7,5,6,6
"1630",6,5,6,5
"1631",7,7,5,4
"1632",NA,NA,NA,NA
"1633",NA,NA,NA,NA
"1634",5,5,5,4
"1635",7,4,6,6
"1636",7,2,7,6
"1637",NA,NA,NA,NA
"1638",NA,NA,NA,NA
"1639",4,3,3,1
"1640",6,3,6,1
"1641",6,3,5,5
"1642",6,3,5,1
"1643",6,3,6,3
"1644",6,2,7,6
"1645",6,4,6,4
"1646",7,2,1,3
"1647",3,3,3,3
"1648",NA,NA,NA,NA
"1649",NA,NA,NA,NA
"1650",5,6,7,4
"1651",5,6,5,3
"1652",NA,NA,NA,NA
"1653",4,5,7,7
"1654",6,4,7,5
"1655",NA,NA,NA,NA
"1656",6,5,7,3
"1657",6,3,5,2
"1658",7,2,4,4
"1659",6,4,5,6
"1660",NA,NA,NA,NA
"1661",NA,NA,NA,NA
"1662",6,2,5,4
"1663",NA,NA,NA,NA
"1664",3,4,3,3
"1665",1,1,1,1
"1666",4,3,1,5
"1667",5,4,6,4
"1668",6,5,6,6
"1669",NA,NA,NA,NA
"1670",NA,NA,NA,NA
"1671",5,3,6,3
"1672",4,3,6,3
"1673",5,5,6,6
"1674",6,5,3,5
"1675",NA,NA,NA,NA
"1676",6,6,6,6
"1677",4,5,3,3
"1678",7,4,6,4
"1679",NA,NA,NA,NA
"1680",NA,NA,NA,NA
"1681",NA,NA,NA,NA
"1682",6,3,7,6
"1683",5,5,6,3
"1684",NA,NA,NA,NA
"1685",3,7,5,4
"1686",NA,NA,NA,NA
"1687",NA,NA,NA,NA
"1688",NA,NA,NA,NA
"1689",NA,NA,NA,NA
"1690",7,5,7,6
"1691",7,3,6,3
"1692",NA,NA,NA,NA
"1693",2,7,3,3
"1694",1,1,1,1
"1695",NA,NA,NA,NA
"1696",NA,NA,NA,NA
"1697",NA,NA,NA,NA
"1698",5,6,2,2
"1699",7,4,6,3
"1700",6,3,6,6
"1701",6,3,6,6
"1702",7,3,7,7
"1703",NA,NA,NA,NA
"1704",7,5,7,5
"1705",6,3,7,6
"1706",7,2,7,5
"1707",NA,NA,NA,NA
"1708",NA,NA,NA,NA
"1709",5,3,1,1
"1710",NA,NA,NA,NA
"1711",5,6,4,3
"1712",1,1,1,1
"1713",NA,NA,NA,NA
"1714",6,2,6,5
"1715",6,6,5,3
"1716",NA,NA,NA,NA
"1717",1,1,6,6
"1718",5,6,6,6
"1719",6,3,6,5
"1720",7,3,7,6
"1721",4,4,5,5
"1722",NA,NA,NA,NA
"1723",7,5,7,5
"1724",3,5,5,4
"1725",6,4,5,5
"1726",1,1,1,1
"1727",NA,NA,NA,NA
"1728",3,3,6,6
"1729",7,3,4,5
"1730",3,1,1,1
"1731",NA,NA,NA,NA
"1732",4,6,6,3
"1733",7,3,7,2
"1734",7,4,7,7
"1735",NA,NA,NA,NA
"1736",7,3,6,5
"1737",4,4,5,3
"1738",1,1,1,1
"1739",NA,NA,NA,NA
"1740",NA,NA,NA,NA
"1741",NA,NA,NA,NA
"1742",6,3,6,6
"1743",NA,NA,NA,NA
"1744",NA,NA,NA,NA
"1745",5,3,6,3
"1746",6,3,5,NA
"1747",NA,NA,NA,NA
"1748",7,3,7,7
"1749",5,5,7,3
"1750",1,1,1,1
"1751",NA,NA,NA,NA
"1752",NA,NA,NA,NA
"1753",6,6,3,3
"1754",6,3,5,1
"1755",NA,NA,NA,NA
"1756",NA,NA,NA,NA
"1757",5,3,6,4
"1758",3,6,6,3
"1759",5,5,4,4
"1760",NA,NA,NA,NA
"1761",NA,NA,NA,NA
"1762",NA,NA,NA,NA
"1763",NA,NA,NA,NA
"1764",NA,NA,NA,NA
"1765",NA,NA,NA,NA
"1766",3,6,5,5
"1767",5,3,5,6
"1768",7,5,5,1
"1769",NA,NA,NA,NA
"1770",NA,NA,NA,NA
"1771",1,1,1,1
"1772",1,1,1,1
"1773",6,1,5,5
"1774",6,4,6,5
"1775",5,4,6,3
"1776",7,3,6,1
"1777",NA,NA,NA,NA
"1778",2,2,2,2
"1779",4,4,6,5
"1780",6,NA,5,6
"1781",5,3,5,3
"1782",NA,NA,NA,NA
"1783",1,1,1,1
"1784",6,6,6,6
"1785",NA,NA,NA,NA
"1786",6,6,5,5
"1787",7,3,3,3
"1788",7,2,7,7
"1789",6,5,7,7
"1790",6,3,7,3
"1791",6,5,6,1
"1792",6,4,7,3
"1793",NA,NA,NA,NA
"1794",7,3,7,6
"1795",1,5,5,5
"1796",5,3,6,5
"1797",6,2,6,6
"1798",NA,NA,NA,NA
"1799",NA,NA,NA,NA
"1800",NA,NA,NA,NA
"1801",6,4,7,4
"1802",7,4,6,7
"1803",6,4,7,3
"1804",5,1,1,1
"1805",6,5,6,5
"1806",NA,NA,NA,NA
"1807",NA,NA,NA,NA
"1808",NA,NA,NA,NA
"1809",1,1,1,1
"1810",5,5,6,3
"1811",6,6,6,6
"1812",NA,NA,NA,NA
"1813",NA,NA,NA,NA
"1814",6,3,6,4
"1815",NA,NA,NA,NA
"1816",6,5,4,3
"1817",6,2,6,5
"1818",NA,NA,NA,NA
"1819",7,3,7,6
"1820",NA,NA,NA,NA
"1821",6,5,7,4
"1822",NA,NA,NA,NA
"1823",6,6,6,6
"1824",7,5,7,7
"1825",NA,NA,NA,NA
"1826",5,6,6,4
"1827",3,7,5,6
"1828",7,3,6,5
"1829",NA,NA,NA,NA
"1830",NA,NA,NA,NA
"1831",NA,NA,NA,NA
"1832",6,2,5,6
"1833",5,5,5,3
"1834",NA,NA,NA,NA
"1835",NA,NA,NA,NA
"1836",3,6,5,2
"1837",NA,NA,NA,NA
"1838",NA,NA,NA,NA
"1839",7,2,1,1
"1840",6,6,6,3
"1841",6,3,7,4
"1842",7,2,1,7
"1843",7,2,7,4
"1844",1,1,1,1
"1845",6,3,7,6
"1846",NA,NA,NA,NA
"1847",6,3,1,3
"1848",6,3,7,5
"1849",6,2,6,6
"1850",NA,NA,NA,NA
"1851",5,3,6,3
"1852",6,4,6,5
"1853",1,1,1,1
"1854",7,2,3,2
"1855",3,6,5,3
"1856",NA,NA,NA,NA
"1857",NA,NA,NA,NA
"1858",7,4,7,4
"1859",7,2,6,6
"1860",7,2,6,4
"1861",7,3,5,2
"1862",6,5,5,4
"1863",7,2,7,7
"1864",6,2,6,6
"1865",6,3,7,4
"1866",4,5,4,3
"1867",NA,NA,NA,NA
"1868",4,5,7,6
"1869",7,3,6,3
"1870",7,4,6,5
"1871",NA,NA,NA,NA
"1872",6,5,6,3
"1873",NA,NA,NA,NA
"1874",3,7,5,3
"1875",7,2,6,6
"1876",5,3,7,5
"1877",5,5,5,3
"1878",6,3,4,6
"1879",7,2,7,5
"1880",7,3,7,7
"1881",NA,NA,NA,NA
"1882",NA,NA,NA,NA
"1883",NA,NA,NA,NA
"1884",NA,NA,NA,NA
"1885",7,3,7,6
"1886",7,2,7,5
"1887",3,3,3,3
"1888",7,4,7,6
"1889",NA,NA,NA,NA
"1890",NA,NA,NA,NA
"1891",7,3,7,2
"1892",6,5,6,4
"1893",6,3,1,1
"1894",7,5,7,5
"1895",5,3,1,1
"1896",7,3,7,7
"1897",7,2,7,7
"1898",6,5,3,3
"1899",NA,NA,NA,NA
"1900",6,3,7,3
"1901",6,1,1,4
"1902",6,6,6,3
"1903",6,3,6,6
"1904",6,4,7,6
"1905",5,4,4,3
"1906",NA,NA,NA,NA
"1907",NA,NA,NA,NA
"1908",6,3,7,3
"1909",NA,NA,NA,NA
"1910",7,3,7,4
"1911",5,5,6,3
"1912",7,5,7,5
"1913",5,4,7,1
"1914",7,4,7,3
"1915",1,1,1,1
"1916",NA,NA,NA,NA
"1917",NA,NA,NA,NA
"1918",NA,NA,NA,NA
"1919",NA,NA,NA,NA
"1920",NA,NA,NA,NA
"1921",NA,NA,NA,NA
"1922",6,2,7,5
"1923",3,3,3,3
"1924",NA,NA,NA,NA
"1925",NA,NA,NA,NA
"1926",NA,NA,NA,NA
"1927",3,3,5,2
"1928",NA,NA,NA,NA
"1929",6,2,6,3
"1930",7,2,1,5
"1931",7,3,6,5
"1932",NA,NA,NA,NA
"1933",6,5,7,4
"1934",NA,NA,NA,NA
"1935",6,4,6,6
"1936",6,5,5,3
"1937",6,6,7,5
"1938",NA,NA,NA,NA
"1939",6,4,7,3
"1940",NA,NA,NA,NA
"1941",5,4,6,6
"1942",2,7,7,3
"1943",3,3,3,3
"1944",2,7,2,2
"1945",NA,NA,NA,NA
"1946",4,4,6,5
"1947",NA,NA,NA,NA
"1948",7,3,7,5
"1949",7,3,7,7
"1950",1,1,1,1
"1951",5,2,1,3
"1952",6,2,6,1
"1953",6,2,6,4
"1954",1,1,1,1
"1955",7,3,7,3
"1956",3,1,5,4
"1957",NA,NA,NA,NA
"1958",4,6,5,2
"1959",6,3,6,3
"1960",NA,NA,NA,NA
"1961",6,5,6,5
"1962",6,6,7,5
"1963",7,6,7,6
"1964",NA,NA,NA,NA
"1965",6,3,5,4
"1966",6,6,5,5
"1967",NA,NA,NA,NA
"1968",NA,NA,NA,NA
"1969",5,7,6,4
"1970",NA,NA,NA,NA
"1971",6,1,1,1
"1972",4,4,4,6
"1973",7,5,6,6
"1974",6,3,7,2
"1975",NA,NA,NA,NA
"1976",7,2,7,5
"1977",NA,NA,NA,NA
"1978",1,1,5,1
"1979",7,6,7,4
"1980",NA,NA,NA,NA
"1981",6,4,7,3
"1982",6,4,5,6
"1983",7,3,7,6
"1984",NA,NA,NA,NA
"1985",2,2,1,2
"1986",5,5,7,7
"1987",6,3,6,2
"1988",1,1,1,1
"1989",7,3,7,2
"1990",6,2,1,6
"1991",6,3,6,6
"1992",NA,NA,NA,NA
"1993",5,5,5,5
"1994",5,1,6,1
"1995",7,3,5,3
"1996",4,5,4,2
"1997",6,5,3,3
"1998",NA,NA,NA,NA
"1999",7,5,7,6
"2000",NA,NA,NA,NA
"2001",7,4,NA,6
"2002",1,1,1,1
"2003",4,5,5,5
"2004",NA,NA,NA,NA
"2005",7,2,7,7
"2006",6,3,7,5
"2007",NA,NA,NA,NA
"2008",NA,NA,NA,NA
"2009",NA,NA,NA,NA
"2010",NA,NA,NA,NA
"2011",NA,NA,NA,NA
"2012",3,2,1,1
"2013",NA,NA,NA,NA
"2014",5,3,4,3
"2015",6,5,6,6
"2016",7,3,6,5
"2017",5,6,6,3
"2018",NA,NA,NA,NA
"2019",6,3,6,3
"2020",1,1,1,1
"2021",NA,NA,NA,NA
"2022",6,5,6,5
"2023",6,5,7,7
"2024",6,3,6,1
"2025",6,4,6,3
"2026",6,6,5,2
"2027",NA,NA,NA,NA
"2028",NA,NA,NA,NA
"2029",6,NA,NA,7
"2030",NA,NA,NA,NA
"2031",6,4,7,4
"2032",NA,NA,NA,NA
"2033",NA,NA,NA,NA
"2034",2,2,2,2
"2035",NA,NA,NA,NA
"2036",7,2,6,3
"2037",6,5,6,1
"2038",NA,NA,NA,NA
"2039",5,1,1,NA
"2040",1,1,1,1
"2041",6,4,5,5
"2042",6,3,2,2
"2043",3,5,5,1
"2044",6,6,7,3
"2045",NA,NA,NA,NA
"2046",2,4,NA,2
"2047",NA,NA,NA,NA
"2048",NA,NA,NA,NA
"2049",4,2,7,7
"2050",NA,NA,NA,NA
"2051",6,2,6,6
"2052",NA,NA,NA,NA
"2053",6,2,1,1
"2054",3,3,3,3
"2055",7,5,6,4
"2056",7,5,6,NA
"2057",6,3,6,5
"2058",1,1,1,1
"2059",6,5,6,3
"2060",NA,NA,NA,NA
"2061",NA,NA,NA,NA
"2062",7,4,6,6
"2063",NA,NA,NA,NA
"2064",6,4,6,4
"2065",NA,NA,NA,NA
"2066",NA,NA,NA,NA
"2067",7,3,7,6
"2068",7,2,7,1
"2069",5,5,5,4
"2070",1,1,1,1
"2071",4,5,5,2
"2072",7,4,2,6
"2073",NA,NA,NA,NA
"2074",5,5,7,7
"2075",1,1,1,1
"2076",NA,NA,NA,NA
"2077",NA,NA,NA,NA
"2078",7,5,6,4
"2079",7,2,1,4
"2080",3,1,1,1
"2081",2,2,1,1
"2082",NA,NA,NA,NA
"2083",6,5,3,3
"2084",4,5,5,5
"2085",3,3,1,1
"2086",2,7,4,6
"2087",7,4,6,6
"2088",6,4,7,6
"2089",NA,NA,NA,NA
"2090",7,2,7,7
"2091",6,3,6,4
"2092",6,3,6,4
"2093",7,2,5,2
"2094",6,6,6,3
"2095",7,4,7,6
"2096",NA,NA,NA,NA
"2097",6,2,1,2
"2098",6,5,7,7
"2099",7,2,1,5
"2100",NA,NA,NA,NA
"2101",6,3,6,5
"2102",NA,NA,NA,NA
"2103",NA,NA,NA,NA
"2104",NA,NA,NA,NA
"2105",5,1,1,1
"2106",7,5,7,6
"2107",NA,NA,NA,NA
"2108",6,3,5,3
"2109",5,4,5,4
"2110",NA,NA,NA,NA
"2111",6,4,6,6
"2112",5,4,6,5
"2113",NA,NA,NA,NA
"2114",NA,NA,NA,NA
"2115",NA,NA,NA,NA
"2116",NA,NA,NA,NA
"2117",1,1,1,1
"2118",5,5,5,3
"2119",6,4,5,4
"2120",7,5,6,2
"2121",5,4,6,4
"2122",7,3,7,5
"2123",4,4,4,3
"2124",5,2,6,3
"2125",4,4,5,3
"2126",7,4,5,6
"2127",5,5,5,5
"2128",6,3,6,4
"2129",5,4,6,5
"2130",6,3,6,1
"2131",6,3,6,6
"2132",6,3,6,2
"2133",NA,NA,NA,NA
"2134",NA,NA,NA,NA
"2135",6,5,NA,6
"2136",6,5,7,4
"2137",NA,NA,NA,NA
"2138",NA,NA,NA,NA
"2139",NA,NA,NA,NA
"2140",5,4,6,5
"2141",6,6,7,5
"2142",5,6,2,2
"2143",6,4,7,5
"2144",6,5,6,6
"2145",NA,NA,NA,NA
"2146",6,1,1,1
"2147",6,2,7,6
"2148",7,4,6,6
"2149",7,6,7,7
"2150",NA,NA,NA,NA
"2151",3,3,3,3
"2152",NA,NA,NA,NA
"2153",NA,NA,NA,NA
"2154",NA,NA,NA,NA
