germany,628
russian federation,9
austria,7
poland,7
united kingdom,4
australia,3
not stated,3
bulgaria,2
croatia,2
romania,2
ukraine,2
usa,2
argentina,1
canada,1
east germany,1
finland,1
france,1
gdr,1
hungary,1
iceland,1
indonesia,1
iran,1
ireland,1
italy,1
netherlands,1
south africa,1
spain,1
turkey,1
